           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.199
1,0.3,0.15,0.15,,
2,0.2,0.05,0.15,,
3,0.2,0.06,0.14,,
4,0.4,0.26,0.14,,
5,0.3,0.16,0.14,,
6,0.2,0.06,0.14,,
7,0.1,0,0.1,,
8,0.1,0,0.1,,
9,0.1,0,0.1,,
10,0.3,0.2,0.1,,
11,0.3,0.2,0.1,,
12,0.4,0.3,0.1,,
13,0.5,0.4,0.1,,
14,0.5,0.4,0.1,,
15,0.7,0.6,0.1,,
16,0.8,0.69,0.11,,
17,0.7,0.59,0.11,,
18,0.8,0.69,0.11,,
19,0.5,0.39,0.11,,
20,0.5,0.38,0.12,,
21,0.5,0.38,0.12,,
22,0.6,0.48,0.12,,
23,0.5,0.38,0.12,,
24,0.6,0.48,0.12,,
25,42.5,42.01,0.49,,
26,450,445.61,4.39,,
27,640,630.17,9.83,,
28,88,77.68,10.32,,
29,70.1,59.47,10.63,,
30,38,27.34,10.66,,
1,70.5,59.53,10.97,,
2,74.3,63,11.3,,
3,60,48.5,11.5,,
4,53.6,41.96,11.64,,
5,129,116.57,12.43,,
6,1347,1323.2,23.8,,
7,164.1,139.55,24.55,,
8,70,45.55,24.45,,
9,60,35.72,24.28,,
10,38,14.08,23.92,,
11,35,11.46,23.54,,
12,54,30.66,23.34,,
13,51,27.88,23.12,,
14,32,9.27,22.73,,
15,23,0.71,22.29,,
16,32.9,10.96,21.94,,
17,128,105.58,22.42,,
18,110,87.26,22.74,,
19,105,81.99,23.01,,
20,54.7,31.87,22.83,,
21,39.1,16.58,22.52,,
22,33,10.84,22.16,,
23,207,183.67,23.33,,
24,46,22.94,23.06,,
25,115,91.59,23.41,,
26,236,211.21,24.79,,
27,135,109.74,25.26,,
28,57,31.97,25.03,,
29,39,14.34,24.66,,
30,35,10.74,24.26,,
31,30,6.17,23.83,,
1,23.7,0.34,23.36,,
2,22,0,22,,
3,20.6,0,20.6,,
4,433.4,409.62,23.78,,
5,104.8,80.78,24.02,,
6,74.6,50.62,23.98,,
7,1695,1656.96,38.04,,
8,325.5,285.71,39.79,,
9,148.3,108.35,39.95,,
10,157.2,117.03,40.17,,
11,219,178.07,40.93,,
12,79,38.55,40.45,,
13,95,54.87,40.13,,
14,65,25.45,39.55,,
15,45,6.19,38.81,,
16,38,0,38,,
17,35,0,35,,
18,30,0,30,,
19,28,0,28,,
20,25,0,25,,
21,23,0,23,,
22,23,0.46,22.54,,
23,29,6.85,22.15,,
24,950,920.21,29.79,,
25,172.8,142.36,30.44,,
26,125.5,94.84,30.66,,
27,64.7,34.35,30.35,,
28,145,114.25,30.75,,
29,933.8,895.8,38,,
30,285.3,245.91,39.39,,
31,145.7,106.16,39.54,,
1,109.2,69.84,39.36,,
2,88.2,49.2,39,,
3,71.7,33.18,38.52,,
4,76,37.92,38.08,,
5,135.6,97.43,38.17,,
6,60,22.39,37.61,,
7,42,5.1,36.9,,
8,36,0,36,,
9,30,0,30,,
10,25,0,25,,
11,25,0.5,24.5,,
12,130,105.06,24.94,,
13,88,63.01,24.99,,
14,95,69.9,25.1,,
15,45,20.22,24.78,,
16,38,13.6,24.4,,
17,31.5,7.52,23.98,,
18,28,4.46,23.54,,
19,24,0.92,23.08,,
20,21.7,0,21.7,,
21,16.2,0,16.2,,
22,17.3,1.41,15.89,,
23,15,0,15,,
24,12.6,0,12.6,,
25,15,2.63,12.37,,
26,11.2,0,11.2,,
27,9.8,0,9.8,,
28,9.5,0,9.5,,
29,19.5,10.1,9.4,,
30,10.7,1.48,9.22,,
1,10,0.95,9.05,,
2,10,1.12,8.88,,
3,10.2,1.49,8.71,,
4,725,710.23,14.77,,
5,84.6,69.51,15.09,,
6,41.9,26.88,15.02,,
7,25,10.19,14.81,,
8,20.8,6.23,14.57,,
9,16.8,2.5,14.3,,
10,13.8,0,13.8,,
11,13,0,13,,
12,8.1,0,8.1,,
13,9,1.05,7.95,,
14,8.7,0.9,7.8,,
15,8,0.36,7.64,,
16,8,0.51,7.49,,
17,6.6,0,6.6,,
18,6.4,0,6.4,,
19,5.9,0,5.9,,
20,5.8,0.02,5.78,,
21,8,2.31,5.69,,
22,8,2.41,5.59,,
23,8,2.5,5.5,,
24,12.3,6.85,5.45,,
25,12.4,6.99,5.41,,
26,11.7,6.35,5.35,,
27,9.2,3.92,5.28,,
28,7.8,2.6,5.2,,
29,8.2,3.08,5.12,,
30,7.5,2.46,5.04,,
31,6.9,1.94,4.96,,
1,5.3,0.44,4.86,,
2,5.8,1.03,4.77,,
3,5.6,0.91,4.69,,
4,5.4,0.8,4.6,,
5,5.2,0.69,4.51,,
6,4,0,4,,
7,4,0.08,3.92,,
8,3.8,0,3.8,,
9,3.5,0,3.5,,
10,4,0.57,3.43,,
11,3,0,3,,
12,3,0.06,2.94,,
13,3,0.12,2.88,,
14,2.4,0,2.4,,
15,2.6,0.25,2.35,,
16,2.4,0.09,2.31,,
17,2.4,0.14,2.26,,
18,2.2,0,2.2,,
19,2.1,0,2.1,,
20,2,0,2,,
21,2,0.04,1.96,,
22,2,0.08,1.92,,
23,2.6,0.71,1.89,,
24,465,459.12,5.88,,
25,92,85.49,6.51,,
26,34.2,27.57,6.63,,
27,23,16.36,6.64,,
28,25.8,19.13,6.67,,
29,20.2,13.54,6.66,,
30,17.5,10.88,6.62,,
1,14.5,7.94,6.56,,
2,21.5,14.94,6.56,,
3,13.3,6.81,6.49,,
4,10.6,4.21,6.39,,
5,9.6,3.31,6.29,,
6,9.1,2.91,6.19,,
7,8.2,2.11,6.09,,
8,7.4,1.42,5.98,,
9,6.9,1.03,5.87,,
10,6.6,0.84,5.76,,
11,6.3,0.65,5.65,,
12,6,0.46,5.54,,
13,5.8,0.37,5.43,,
14,5.5,0.17,5.33,,
15,5.2,0,5.2,,
16,4.9,0,4.9,,
17,4.9,0.1,4.8,,
18,4.9,0.19,4.71,,
19,4.9,0.28,4.62,,
20,4.7,0.17,4.53,,
21,4.7,0.26,4.44,,
22,4.5,0.15,4.35,,
23,4.2,0,4.2,,
24,4.2,0.08,4.12,,
25,4.2,0.16,4.04,,
26,3.8,0,3.8,,
27,3,0,3,,
28,2.9,0,2.9,,
29,3,0.16,2.84,,
30,2.9,0.11,2.79,,
31,2.9,0.17,2.73,,
1,2.9,0.22,2.68,,
2,2.6,0,2.6,,
3,2.5,0,2.5,,
4,2.5,0.05,2.45,,
5,2.5,0.1,2.4,,
6,2.5,0.14,2.36,,
7,2.4,0.09,2.31,,
8,2.4,0.14,2.26,,
9,2.6,0.38,2.22,,
10,3.3,1.11,2.19,,
11,2.6,0.45,2.15,,
12,3,0.89,2.11,,
13,2.4,0.33,2.07,,
14,2.4,0.37,2.03,,
15,2.4,0.4,2,,
16,2.4,0.44,1.96,,
17,2,0.08,1.92,,
18,1.9,0.02,1.88,,
19,1.9,0.05,1.85,,
20,1.9,0.09,1.81,,
21,2.4,0.62,1.78,,
22,2.5,0.75,1.75,,
23,2.8,1.07,1.73,,
24,2.5,0.8,1.7,,
25,2.5,0.83,1.67,,
26,2.5,0.85,1.65,,
27,2.4,0.78,1.62,,
28,2.4,0.81,1.59,,
29,2.4,0.83,1.57,,
30,2,0.46,1.54,,
31,2.5,0.98,1.52,,
1,2.7,1.2,1.5,,
